弹幕信息出现分钟,弹幕出现日期,弹幕内容
00:17:52,2022-12-06 21:24:46,单挑还是行的
00:46:15,2022-12-06 19:30:34,太会了
00:29:27,2022-12-04 22:23:14,神助攻
00:28:15,2022-12-04 22:21:31,这种悄悄话是最伤人的，明显变成外人了，别问我怎么知道的
00:27:55,2022-12-04 12:45:25,哈哈哈哈哈哈笑死了
00:26:55,2022-12-04 12:44:16,不是说提前走吗哈哈哈
00:42:38,2022-12-04 00:22:54,情书大全
00:29:32,2022-12-04 00:09:53,名场面稍后登场
00:28:09,2022-12-04 00:08:10,小妹妹冰雪聪明
00:19:27,2022-12-03 23:58:40,导演编剧没法收尾了，只能靠演员良心发现了
00:06:46,2022-12-03 23:47:42,谁敢买金融保险股啊
00:31:02,2022-12-01 12:57:10,坠入爱河
00:32:47,2022-12-01 12:56:49,坠入爱河哈哈哈哈
00:31:07,2022-12-01 12:55:01,自我惩罚哈哈哈哈
00:30:45,2022-12-01 12:54:24,呵哈哈哈哈我就知道
00:27:44,2022-12-01 12:51:19,这下姐妹变情敌了
00:26:42,2022-12-01 12:50:10,说好的你先走呢哈哈哈哈
00:17:31,2022-11-30 20:15:47,突然鬼畜哈哈哈哈哈哈
00:35:01,2022-11-30 01:18:17,这个兔子很眼熟
00:30:20,2022-11-28 14:48:32,背景歌曲是澎恰恰创作的
00:23:12,2022-11-28 13:56:45,从上一个小威小洁的故事里，丽丽开始接纳天贵作为朋友
00:04:50,2022-11-28 13:37:34,演过婉君的舅舅
00:04:15,2022-11-26 14:11:23,梅总是《龙巡天下》国主的舅舅
00:28:08,2022-11-25 10:29:44,你说出来让我们也笑笑嘛
00:24:09,2022-11-24 21:13:43,我还以为全剧终ingl
00:06:17,2022-11-24 20:48:30,哈哈哈哈哈哈哈哈
00:11:00,2022-11-23 21:44:47,天贵有难
00:20:52,2022-11-23 01:53:49,可能是亲情悔悟了吧
00:38:48,2022-11-22 13:00:57,沈公子的表情怎么看都看不厌哈哈！
00:38:55,2022-11-21 22:28:19,噢～我什么都不怕～
00:31:55,2022-11-21 15:54:18,那时候泡面都是发泡塑料碗
00:25:45,2022-11-20 16:59:40,既然会这么说，说明她已经动心了呀
00:35:02,2022-11-20 01:41:17,想起来了 有一集天贵爸爸出场，闽南语完全听不懂
00:47:34,2022-11-19 11:31:14,今天天气真好
00:25:18,2022-11-19 00:47:23,助攻的又一个
00:30:16,2022-11-18 10:02:21,这歌是澎恰恰自己做出来的。
00:20:40,2022-11-17 16:57:42,咋突然戒赌了？
00:36:11,2022-11-16 23:20:02,一家人可爱的不得了
00:25:27,2022-11-16 22:57:15,慢慢开始在意了
00:27:57,2022-12-06 21:29:41,有共同语言
00:26:36,2022-12-06 21:28:07,修罗场
00:12:22,2022-12-05 22:51:49,老甲壳虫
00:29:57,2022-12-05 21:28:13,G干嘛啦
00:26:50,2022-12-04 22:19:23,修罗场
00:27:33,2022-12-04 00:07:22,欲擒故纵
